,ds,y
201,2018-11-13,10330.0
202,2018-11-14,7598.0
203,2018-11-15,12360.0
204,2018-11-16,12286.0
205,2018-11-17,20395.0
206,2018-11-18,25512.0
207,2018-11-19,11993.0
208,2018-11-20,15527.0
209,2018-11-21,11079.0
210,2018-11-22,16705.0
211,2018-11-23,9602.0
212,2018-11-24,17004.0
213,2018-11-25,6921.0
214,2018-11-26,10563.0
215,2018-11-27,13420.0
216,2018-11-28,7602.0
217,2018-11-29,12380.0
218,2018-11-30,9559.0
219,2018-12-01,14510.0
220,2018-12-02,13257.0
221,2018-12-03,12915.0
222,2018-12-04,13763.0
223,2018-12-05,13865.0
224,2018-12-06,14774.0
