future date,predicted-steps
2018-12-07,14930.687542804455
2018-12-08,15626.877137296298
2018-12-09,15979.181045779367
2018-12-10,13349.32787722908
2018-12-11,13955.540358831084
2018-12-12,13696.97052680032
2018-12-13,15021.318940093774
2018-12-14,15298.473857956193
2018-12-15,15994.663452451929
2018-12-16,16346.967360932365
2018-12-17,13717.114192386885
2018-12-18,14323.326673987276
2018-12-19,14064.756841953435
2018-12-20,15389.10525524863
