,ds,y
199,2018-11-11,4264.0
200,2018-11-12,3444.0
201,2018-11-13,3202.0
202,2018-11-14,3081.0
203,2018-11-15,3815.0
204,2018-11-16,3780.0
205,2018-11-17,4548.0
206,2018-11-18,4832.0
207,2018-11-19,3697.0
208,2018-11-20,3966.0
209,2018-11-21,3738.0
210,2018-11-22,4494.0
211,2018-11-23,3325.0
212,2018-11-24,4098.0
213,2018-11-25,3005.0
214,2018-11-26,3364.0
215,2018-11-27,3726.0
216,2018-11-28,3088.0
217,2018-11-29,3693.0
218,2018-11-30,3269.0
219,2018-12-01,3813.0
220,2018-12-02,3957.0
221,2018-12-03,3660.0
222,2018-12-04,3384.0
223,2018-12-05,3670.0
224,2018-12-06,3669.0
